51,32,397,261,71,47,1,-1,-1
52,32,392,280,68,47,1,-1,-1
53,32,385,298,72,53,1,-1,-1
54,32,380,308,68,63,1,-1,-1
55,32,375,321,69,70,1,-1,-1
56,32,369,337,31,74,1,-1,-1
57,32,361,353,51,79,1,-1,-1
58,32,357,368,70,81,1,-1,-1
59,32,352,386,70,83,1,-1,-1
60,32,345,405,56,84,1,-1,-1
61,32,317,430,114,88,1,-1,-1
62,32,305,454,110,89,1,-1,-1
63,32,300,486,99,83,1,-1,-1
64,32,298,520,88,76,1,-1,-1
65,32,298,544,95,82,1,-1,-1
66,32,297,577,92,81,1,-1,-1
67,32,297,614,86,75,1,-1,-1
68,32,286,654,73,66,1,-1,-1
69,32,283,691,75,67,1,-1,-1
70,32,269,729,84,75,1,-1,-1
71,32,256,767,92,83,1,-1,-1
72,32,235,809,100,93,1,-1,-1
73,32,216,858,116,110,1,-1,-1
74,32,200,913,125,121,1,-1,-1
75,32,188,974,127,125,1,-1,-1
76,32,179,1044,125,126,1,-1,-1
77,32,174,1121,119,122,1,-1,-1
78,32,174,1204,96,100,1,-1,-1
79,32,163,1288,94,99,1,-1,-1
80,32,161,1370,89,94,1,-1,-1
81,32,166,1453,76,79,1,-1,-1
82,32,161,1533,60,63,1,-1,-1
295,189,570,210,70,77,1,-1,-1
296,189,569,222,70,71,1,-1,-1
297,189,576,237,71,59,1,-1,-1
298,189,576,249,44,50,1,-1,-1
299,189,577,265,34,47,1,-1,-1
300,189,575,262,41,64,1,-1,-1
301,189,577,281,69,61,1,-1,-1
302,189,580,306,70,54,1,-1,-1
302,197,662,306,61,26,1,-1,-1
303,189,581,326,70,54,1,-1,-1
303,197,663,332,42,19,1,-1,-1
304,189,579,345,72,55,1,-1,-1
304,197,662,352,42,18,1,-1,-1
305,189,576,366,72,59,1,-1,-1
305,197,662,367,63,26,1,-1,-1
306,189,580,388,68,60,1,-1,-1
306,197,661,394,42,20,1,-1,-1
306,202,660,292,47,22,1,-1,-1
307,189,582,416,67,61,1,-1,-1
307,197,658,413,82,27,1,-1,-1
307,202,674,312,27,21,1,-1,-1
308,189,572,443,67,61,1,-1,-1
308,197,658,445,28,19,1,-1,-1
308,202,660,330,42,21,1,-1,-1
309,189,573,469,72,65,1,-1,-1
309,197,655,472,43,20,1,-1,-1
309,202,660,345,42,21,1,-1,-1
310,189,576,500,73,65,1,-1,-1
310,197,658,497,65,26,1,-1,-1
310,202,662,366,42,18,1,-1,-1
311,197,658,528,81,28,1,-1,-1
311,189,578,532,73,64,1,-1,-1
